SRR3189679	SRR3189680	SRR3189681	SRR3189682	SRR3189683	SRR3189684	SRR3189685	SRR3189686	SRR3189687	SRR3189688	SRR3189689	SRR3189690	SRR3189691	SRR3189692	SRR3189693	SRR3189694	SRR3189695	SRR3189696	SRR3189697
2751.481	2499.8765	2572.7344	1991.3811	10959.651	4674.715	3242.1943	2721.3022	2003.995	3177.647	2066.6008	2396.0388	3490.065	8633.718	4041.341	3615.4265	2570.1707	3700.457	2710.1833
650.9605	1156.0931	719.457	585.00446	3281.8647	2198.4482	1341.148	1065.5149	568.2427	897.73486	1634.367	1349.9622	788.64215	2114.8347	1646.3822	1381.1996	1186.2799	1379.4908	822.9032
757.0847	890.8382	759.6426	1006.36676	1804.0203	2165.8955	1362.5505	948.8461	660.19403	459.1423	1069.868	475.5788	407.86655	1375.5863	1206.7759	440.17172	816.04095	721.6127	293.27722
1453.9221	1604.6248	1379.1652	1484.2067	1703.491	3851.9287	4068.7725	2214.4521	2330.8193	541.31085	3520.5146	640.5499	812.9193	1721.4224	5078.818	840.29877	1262.4336	1951.4525	491.24274
983.0403	813.74146	861.8338	863.87866	1175.7437	587.1467	603.93304	711.1981	619.53046	934.61005	397.20996	1104.5732	625.32404	1153.4685	650.8041	1052.9056	925.814	580.6676	588.3026
1495.4874	1269.4681	1290.8551	856.5045	5585.659	697.5222	1375.9124	1459.514	1751.4371	2553.5527	1016.6895	3876.586	6501.8975	6732.269	1198.8878	3181.6743	2213.5842	1802.1333	3333.4197
1772.2571	1962.298	1514.2748	1435.2876	5726.59	1529.3475	1817.6583	1108.2532	1017.58966	1116.3438	1530.8131	1171.595	282.20123	5951.8877	1832.5953	1708.2416	2069.0095	1616.9161	1127.7544
559.30853	491.03333	445.8476	474.15744	1105.4011	434.58884	443.22925	344.05313	575.77124	298.94766	274.34708	337.02664	86.45895	1043.4977	450.81912	474.0972	508.57544	332.57312	294.20218
448.4646	723.5705	418.21353	386.7629	612.0801	632.8049	471.00125	326.40143	269.39587	308.94113	562.3285	596.79254	121.719734	723.50916	514.435	425.45428	531.38416	425.24573	257.80856
693.7602	1147.2045	729.3905	496.5283	3240.2607	1146.8026	919.2959	807.4343	548.5774	540.91266	517.8227	1033.4894	334.3908	2294.9194	920.3789	1301.2759	1185.2473	948.2301	674.53864
72.3712	178.75172	27.213133	51.214474	2201.5264	1500.6923	47.871456	689.66907	282.58252	43.746117	278.99637	30.399538	84.76851	33.54137	31.922197	31.26256	62.087566	28.170439	16.091883
888.2363	957.8285	670.63885	420.48358	3619.919	885.6262	808.2963	665.8201	455.77008	549.89276	569.52594	328.8688	198.62099	3628.8608	832.2025	860.1408	712.5595	1210.1075	644.195
5207.9165	5175.7495	3992.799	4928.9155	5721.4736	6297.7544	6788.4214	7282.7397	6669.1777	5089.8027	12184.111	6183.634	6167.684	7609.51	10278.802	7512.215	6299.007	8566.553	8672.132
15155.629	17311	18110.537	11771.299	1339.7339	3944.0852	11965.005	12705.272	12319.945	9714.062	10884.558	19472.883	16875.395	2508.1362	12180.958	17904.73	13804.104	11669.286	24198.984
887.882	606.63715	668.847	847.083	2351.7144	1115.7682	1166.1807	513.8871	566.704	261.21503	1433.3635	1685.2572	337.99554	894.2395	1287.689	301.85547	336.62033	770.2694	201.96399
101.9252	117.74856	111.386734	206.02933	1058.4929	263.8456	59.401188	459.72385	479.3318	106.24678	174.60648	41.602097	44.266113	276.9983	44.56305	78.92717	63.129375	86.47462	50.31294
6994.5835	7585.5605	5684.564	7518.1665	3760.977	5616.1196	4466.372	8134.2056	5953.413	5120.465	13649.82	4710.139	3633.538	5438.3047	8286.237	6373.1084	5976.957	7336.9937	4912.8584
1230.0408	1140.1084	1216.2333	1070.7775	2826.9507	998.5174	1122.9055	962.7271	740.8346	862.6307	825.4803	1476.669	784.1788	4855.1255	1916.1205	1360.4307	1554.4851	1331.231	1124.1877
500.99643	425.6707	467.27576	646.8845	457.1675	132.399	275.03113	292.5006	324.1546	222.7683	297.5742	294.9459	167.9072	928.9288	416.2979	267.77765	396.28024	450.4061	325.3443
631.5082	860.9587	551.7395	486.73315	2581.063	2796.672	1538.1606	698.5727	891.7773	472.74866	1043.5553	782.71075	787.0423	2648.586	2638.3696	402.5861	754.0957	552.0147	704.3665
1277.1376	1651.7511	1482.9794	936.43164	1061.4711	463.48206	830.38904	1127.2749	902.4983	762.80054	727.4875	1690.6737	234.42093	1522.2653	949.2805	1598.9822	1992.8828	1038.224	1031.7155
645.78015	1001.3293	744.5746	504.73428	6372.115	5211.9956	2465.537	1558.1285	1746.3903	354.09958	1051.2899	833.6398	805.8741	4058.1792	2393.8372	537.8514	586.03723	655.9665	369.93942
1543.7703	1460.6141	1506.5027	1989.5745	539.3347	775.4846	1783.6415	1805.6965	2012.4357	1588.3617	3246.5269	1299.5715	1579.6003	1200.3816	2074.8293	1635.2931	1355.2655	2103.0867	2892.3047
225.02644	239.27495	160.80992	114.22052	1348.808	933.9361	550.0628	191.48721	520.3683	118.90562	547.0009	227.0098	513.6597	676.61816	420.1868	360.36447	434.2978	495.85614	563.0328
11750.485	13288.858	14569.038	7898.636	1855.6713	6438.6187	9974.492	14900.533	18721.01	23671.037	9051.169	42132.76	62712.125	3724.7854	9375.053	24599.62	21503.08	12350.495	18286.492
753.529	636.0147	527.33234	548.18933	1594.5897	400.1505	726.8601	531.8563	681.33716	682.1241	345.20334	723.48004	579.38116	1809.5847	769.99396	817.306	738.8377	616.43207	727.46454
552.35846	396.27478	522.0498	644.8437	1255.6881	787.23724	635.47174	611.2288	586.9881	861.553	503.72974	630.22833	592.0723	1411.351	725.75397	672.26904	583.71185	718.4203	755.8774
8316.436	12298.182	8059.468	6170.021	12781.346	20712.146	14420.632	9391.432	5453.0454	4971.532	13514.085	5337.8936	3389.9043	16613.084	23201.717	8060.8354	8762.587	12525.262	6206.134
2068.7969	1784.0854	1699.5225	2284.7458	2011.0967	1938.1023	2129.4358	2368.0156	3115.0042	2368.9167	3176.4312	2358.0215	2519.012	1870.9464	2758.2668	2337.849	2127.8257	2843.1685	3282.2905
379.83746	435.4348	471.41348	313.32834	2789.7615	558.28	400.84494	459.7219	240.84969	419.5235	255.00507	506.20395	359.35822	1658.6835	325.23276	508.35507	499.97733	418.32883	346.93826
1202.3312	1507.108	1307.918	1440.4333	1833.7223	962.4007	905.9656	952.8123	795.19885	695.59760000000006	1659.1514	1592.7014	589.8203	2445.2183	1257.3704	1189.2681	1292.5923	1054.6672	842.8856
778.1367	940.36774	958.04	660.61255	2324.4385	2120.8096	1647.5732	892.4269	646.8712	726.664	1466.2352	1120.8917	566.2105	2545.6619	1820.8883	981.30914	1166.548	1289.8534	534.96783
126.832405	79.53155	62.95691	116.984566	564.16235	266.8486	375.4318	50.78539	252.68695	42.971844	37.35269	153.0961	254.66232	2302.2131	1199.6526	17.113789	90.06238	27.243778	69.73813
3288.1245	4035.6462	2724.5315	2538.9443	2991.9216	4979.0464	5510.4917	4710.5107	3241.9568	2572.4482	8412.8	2940.4822	2008.8196	4418.775	8074.728	4991.7354	4457.982	7031.1284	5802.6445
1114.0223	924.16864	1197.336	1681.1671	35.58162	61.421173	1547.8359	1128.9934	1596.1586	735.8354	3519.5151	1410.9882	1208.7286	2275.4087	3042.992	557.572	2154.3032	1321.0365	1594.535
2903.8064	2649.9146	2946.1091	2533.7676	13113.982	2317.316	2648.8245	2966.6577	2009.252	3278.8074	2074.843	2971.1714	2570.9395	11152.7	3218.3882	3618.0789	3077.2166	3564.7627	3544.3142
1142.9489	1403.7997	1395.4766	949.0733	1645.4097	1960.2155	1774.2517	1242.2489	854.0118	408.9676	1742.8416	409.48016	288.34317	1836.2384	2393.2507	1190.7865	970.6339	1865.0646	814.7145
1556.619	1294.8043	1589.7332	1445.7582	2863.2231	839.2318	1108.3541	1480.9996	1387.7332	1802.9708	1071.088	2255.7974	1487.6095	2782.8699	1002.59924	1540.8722	1738.9073	1402.4607	1536.8123
3398.1113	3490.443	3793.685	2202.7395	1342.5743	937.6154	2561.7864	2416.073	1552.6733	1340.663	3086.6926	1511.6654	748.07355	4425.1396	2741.9346	2694.3054	2524.5684	2970.007	3699.498
6.3147163	101.97465	22.584368	20.269499	530.7493	840.2726	646.9308	47.482586	270.17975	19.67989	51.495342	136.47119	62.69358	1395.4701	1149.2856	6.467638	132.09676	7.225615	14.144242
796.54767	708.6002	478.96185	527.5752	1187.7722	257.34613	237.16516	362.4617	277.59634	488.1343	335.5782	588.77136	150.91959	1392.5957	346.62662	1172.2755	804.7748	664.34015	388.75296
708.88025	538.7769	631.27167	631.3549	603.6052	465.5057	534.485	521.09644	464.16623	389.45956	889.0504	489.69986	125.27399	791.885	477.18408	510.86374	835.79944	467.49475	344.46072
367.0767	550.7833	403.61462	273.55612	752.8651	317.4799	447.6877	361.11404	338.25296	180.78127	176.81506	583.00854	250.5704	1283.195	458.53705	547.21533	665.43274	335.05017	119.79337
1123.2927	631.61237	749.0191	608.92773	1155.7144	683.61383	540.73975	652.1734	680.2594	945.70325	621.50226	556.8291	171.07861	902.47235	442.98007	811.2551	969.81555	656.87134	375.4404
2859.688	3930.809	1784.2153	2031.3152	6356.9976	6815.1606	6197.273	3276.7253	1231.5271	1656.9512	9953.734	1471.3823	938.1204	9454.71	9106.177	2239.588	2916.04	4875.2935	1991.0596
52.32519	30.460615	37.843494	33.294018	263.9155	143.1272	393.81012	72.77916	362.49344	48.357998	96.071144	126.7863	123.90323	563.8372	390.3399	21.04474	41.361355	22.71077	18.355959
11026.883	9575.116	8738.905	10636.747	9444.212	12212.063	14380.107	11403.441	11225.533	8908.083	15977.185	5128.135	7810.192	12510.2705	18065.758	10473.839	8596.789	19085.668	15885.299
3432.0269	3614.0613	5377.338	3316.057	12343.256	2017.1555	3507.682	3247.1975	2302.13	4027.7256	1337.4781	3134.7576	974.3312	14272.341	3568.2285	5779.1206	5138.6484	5387.348	6748.3843
707.39026	558.7195	873.2365	1011.44244	197.09038	448.07462	489.60596	622.6921	860.17395	393.28815	936.66846	294.48843	19.729425	202.08493000000001	508.4019	293.11536	652.04425	331.61725	379.99237
5284.1514	4843.4854	4004.2195	5033.2075	5410.973	4289.092	5136.527	6676.539	5751.2993	3027.6863	7555.749	2424.4185	1457.82	6803.888	7051.0757	4745.803	5008.617	6823.3267	5677.965
